that -> EDAT (Standard Braille Order, Individual Reading Order)
stud -> CCGHO (Individual Reading Order, Standard Braille Order)
stud -> BBEDIN (Merged Reading Order, Standard Braille Order)
dam -> FAH (Standard Braille Order, Individual Reading Order)
dam -> OAH (Individual Reading Order, Standard Braille Order)
dam -> LINGA (Merged Reading Order, Standard Braille Order)
chad -> CHAF (Standard Braille Order, Individual Reading Order)
chad -> CHAO (Individual Reading Order, Standard Braille Order)
dying -> BWITHOU (Merged Reading Order, Standard Braille Order)
tub -> TWHK (Standard Braille Order, Individual Reading Order)
tub -> FFHM (Standard Braille Order, Merged Reading Order)
tub -> TGHC (Individual Reading Order, Standard Braille Order)
tub -> SMH (Individual Reading Order, Merged Reading Order)
tub -> THEFE (Merged Reading Order, Standard Braille Order)
tub -> SMH (Merged Reading Order, Individual Reading Order)
inns -> INGJO (Standard Braille Order, Merged Reading Order)
inns -> BBRJ (Individual Reading Order, Standard Braille Order)
inns -> ENOFB (Merged Reading Order, Standard Braille Order)
landing -> XKY (Standard Braille Order, Merged Reading Order)
landing -> OUBOF (Individual Reading Order, Merged Reading Order)
landing -> OUBOF (Merged Reading Order, Individual Reading Order)
wheat -> CHGGCC (Standard Braille Order, Merged Reading Order)
wheat -> CHTHEST (Individual Reading Order, Merged Reading Order)
wheat -> CHTHEST (Merged Reading Order, Individual Reading Order)
bee -> KCC (Standard Braille Order, Individual Reading Order)
bee -> CKK (Individual Reading Order, Standard Braille Order)
loud -> OXF (Standard Braille Order, Individual Reading Order)
loud -> ZXC (Standard Braille Order, Merged Reading Order)
loud -> FXO (Individual Reading Order, Standard Braille Order)
loud -> VOUE (Individual Reading Order, Merged Reading Order)
loud -> QCHFF (Merged Reading Order, Standard Braille Order)
loud -> VOUE (Merged Reading Order, Individual Reading Order)
bare -> KJC (Standard Braille Order, Individual Reading Order)
bare -> CFFK (Individual Reading Order, Standard Braille Order)
bare -> OWHEA (Individual Reading Order, Merged Reading Order)
bare -> MCCBB (Merged Reading Order, Standard Braille Order)
bare -> OWHEA (Merged Reading Order, Individual Reading Order)
pit -> RBBT (Standard Braille Order, Individual Reading Order)
pit -> EDZE (Standard Braille Order, Merged Reading Order)
pit -> THVK (Individual Reading Order, Merged Reading Order)
pit -> THVK (Merged Reading Order, Individual Reading Order)
ton -> TDG (Standard Braille Order, Individual Reading Order)
ton -> GGEDO (Standard Braille Order, Merged Reading Order)
ton -> TLR (Individual Reading Order, Standard Braille Order)
ton -> THETHL (Individual Reading Order, Merged Reading Order)
ton -> SANDL (Merged Reading Order, Standard Braille Order)
ton -> THETHL (Merged Reading Order, Individual Reading Order)
lying -> XCY (Standard Braille Order, Merged Reading Order)
lying -> OUEOF (Individual Reading Order, Merged Reading Order)
lying -> OUEOF (Merged Reading Order, Individual Reading Order)
handed -> MOFV (Standard Braille Order, Individual Reading Order)
handed -> YRING (Standard Braille Order, Merged Reading Order)
handed -> MERTH (Individual Reading Order, Standard Braille Order)
sink -> CCCO (Standard Braille Order, Merged Reading Order)
sink -> JBBB (Individual Reading Order, Standard Braille Order)
sink -> STEL (Individual Reading Order, Merged Reading Order)
sink -> STPEA (Merged Reading Order, Standard Braille Order)
sink -> STEL (Merged Reading Order, Individual Reading Order)
pins -> GHDO (Standard Braille Order, Merged Reading Order)
pins -> GBBJ (Individual Reading Order, Standard Braille Order)
pins -> SHOL (Individual Reading Order, Merged Reading Order)
pins -> SHANDEA (Merged Reading Order, Standard Braille Order)
pins -> SHOL (Merged Reading Order, Individual Reading Order)
handy -> MOFER (Standard Braille Order, Individual Reading Order)
handy -> MEROF (Individual Reading Order, Standard Braille Order)
handy -> OFEDGG (Individual Reading Order, Merged Reading Order)
handy -> QGGZ (Merged Reading Order, Standard Braille Order)
handy -> OFEDGG (Merged Reading Order, Individual Reading Order)
rid -> NBBF (Standard Braille Order, Individual Reading Order)
rid -> THVA (Standard Braille Order, Merged Reading Order)
rid -> ZEDA (Individual Reading Order, Merged Reading Order)
rid -> NWHK (Merged Reading Order, Standard Braille Order)
rid -> ZEDA (Merged Reading Order, Individual Reading Order)
rip -> NBBR (Standard Braille Order, Individual Reading Order)
rip -> THRE (Standard Braille Order, Merged Reading Order)
rip -> ZPK (Individual Reading Order, Merged Reading Order)
rip -> YZA (Merged Reading Order, Standard Braille Order)
rip -> ZPK (Merged Reading Order, Individual Reading Order)
lip -> OBBR (Standard Braille Order, Individual Reading Order)
lip -> THOE (Standard Braille Order, Merged Reading Order)
lip -> ZLK (Individual Reading Order, Merged Reading Order)
lip -> ZLK (Merged Reading Order, Individual Reading Order)
sap -> FFAR (Standard Braille Order, Individual Reading Order)
sap -> GGEE (Standard Braille Order, Merged Reading Order)
sap -> JAG (Individual Reading Order, Standard Braille Order)
sap -> THEKK (Individual Reading Order, Merged Reading Order)
sap -> THEKK (Merged Reading Order, Individual Reading Order)
forming -> ANDBOF (Standard Braille Order, Merged Reading Order)
forming -> ERCAND (Individual Reading Order, Merged Reading Order)
forming -> FFORSH (Merged Reading Order, Standard Braille Order)
forming -> ERCAND (Merged Reading Order, Individual Reading Order)
eyed -> CERV (Standard Braille Order, Individual Reading Order)
eyed -> YJING (Standard Braille Order, Merged Reading Order)
eyed -> KOFTH (Individual Reading Order, Standard Braille Order)
ought -> XUT (Standard Braille Order, Individual Reading Order)
ought -> UOFJ (Standard Braille Order, Merged Reading Order)
ought -> XSHT (Individual Reading Order, Standard Braille Order)
ought -> GHANDAR (Individual Reading Order, Merged Reading Order)
ought -> GHANDAR (Merged Reading Order, Individual Reading Order)
aye -> AERC (Standard Braille Order, Individual Reading Order)
aye -> AOFK (Individual Reading Order, Standard Braille Order)
aye -> LCCFF (Merged Reading Order, Standard Braille Order)
forty -> FORTER (Standard Braille Order, Individual Reading Order)
forty -> ERANDOF (Standard Braille Order, Merged Reading Order)
forty -> FORTOF (Individual Reading Order, Standard Braille Order)
forty -> YERAND (Individual Reading Order, Merged Reading Order)
forty -> NFORAND (Merged Reading Order, Standard Braille Order)
forty -> YERAND (Merged Reading Order, Individual Reading Order)
rows -> SHRD (Standard Braille Order, Merged Reading Order)
rows -> WHPO (Individual Reading Order, Merged Reading Order)
rows -> THZE (Merged Reading Order, Standard Braille Order)
rows -> WHPO (Merged Reading Order, Individual Reading Order)
ears -> ENRBB (Individual Reading Order, Merged Reading Order)
ears -> ENRBB (Merged Reading Order, Individual Reading Order)
fist -> LBBCC (Standard Braille Order, Individual Reading Order)
mere -> HANDC (Standard Braille Order, Individual Reading Order)
mere -> QINGC (Standard Braille Order, Merged Reading Order)
mere -> HYK (Individual Reading Order, Standard Braille Order)
mere -> RDFF (Merged Reading Order, Standard Braille Order)
dig -> FBBP (Standard Braille Order, Individual Reading Order)
caring -> AWITHEN (Merged Reading Order, Standard Braille Order)
deny -> OINGZ (Merged Reading Order, Standard Braille Order)
rim -> NBBH (Standard Braille Order, Individual Reading Order)
rim -> THLE (Standard Braille Order, Merged Reading Order)
rim -> ZFK (Individual Reading Order, Merged Reading Order)
rim -> NZA (Merged Reading Order, Standard Braille Order)
rim -> ZFK (Merged Reading Order, Individual Reading Order)
tier -> TBBAND (Standard Braille Order, Individual Reading Order)
tier -> WOFCH (Standard Braille Order, Merged Reading Order)
andrea -> LNL (Standard Braille Order, Merged Reading Order)
andrea -> FRF (Individual Reading Order, Merged Reading Order)
andrea -> ERFI (Merged Reading Order, Standard Braille Order)
andrea -> FRF (Merged Reading Order, Individual Reading Order)
pig -> RBBP (Standard Braille Order, Individual Reading Order)
pig -> ERZA (Standard Braille Order, Merged Reading Order)
pig -> YVA (Individual Reading Order, Merged Reading Order)
pig -> YVA (Merged Reading Order, Individual Reading Order)
lit -> OBBT (Standard Braille Order, Individual Reading Order)
lit -> SHZE (Standard Braille Order, Merged Reading Order)
lit -> WHVK (Individual Reading Order, Merged Reading Order)
lit -> WHVK (Merged Reading Order, Individual Reading Order)
duo -> FWHD (Standard Braille Order, Individual Reading Order)
duo -> RENAR (Standard Braille Order, Merged Reading Order)
duo -> OGHL (Individual Reading Order, Standard Braille Order)
duo -> LSO (Merged Reading Order, Standard Braille Order)
fog -> LDP (Standard Braille Order, Individual Reading Order)
fog -> DLN (Individual Reading Order, Standard Braille Order)
fog -> ANDZEA (Individual Reading Order, Merged Reading Order)
fog -> ANDOWBB (Merged Reading Order, Standard Braille Order)
fog -> ANDZEA (Merged Reading Order, Individual Reading Order)
fur -> LWHN (Standard Braille Order, Individual Reading Order)
fur -> RWHAR (Standard Braille Order, Merged Reading Order)
fur -> DGHP (Individual Reading Order, Standard Braille Order)
fur -> PUFF (Individual Reading Order, Merged Reading Order)
fur -> ANDSIN (Merged Reading Order, Standard Braille Order)
fur -> PUFF (Merged Reading Order, Individual Reading Order)
rug -> NWHP (Standard Braille Order, Individual Reading Order)
rug -> ZOUM (Standard Braille Order, Merged Reading Order)
rug -> PGHN (Individual Reading Order, Standard Braille Order)
rug -> VXH (Individual Reading Order, Merged Reading Order)
rug -> ANDGHO (Merged Reading Order, Standard Braille Order)
rug -> VXH (Merged Reading Order, Individual Reading Order)
ham -> MAH (Standard Braille Order, Individual Reading Order)
ham -> MAH (Individual Reading Order, Standard Braille Order)
sheer -> GHCAND (Standard Braille Order, Individual Reading Order)
sheer -> WHKY (Individual Reading Order, Standard Braille Order)
bind -> CBBO (Individual Reading Order, Standard Braille Order)
bind -> UWHEA (Individual Reading Order, Merged Reading Order)
bind -> MENBB (Merged Reading Order, Standard Braille Order)
bind -> UWHEA (Merged Reading Order, Individual Reading Order)
lows -> SHOD (Standard Braille Order, Merged Reading Order)
lows -> WHLO (Individual Reading Order, Merged Reading Order)
lows -> WHLO (Merged Reading Order, Individual Reading Order)
pest -> RCCC (Standard Braille Order, Individual Reading Order)
pest -> VCE (Standard Braille Order, Merged Reading Order)
pest -> GKCC (Individual Reading Order, Standard Braille Order)
pest -> EDEK (Individual Reading Order, Merged Reading Order)
pest -> FXEA (Merged Reading Order, Standard Braille Order)
pest -> EDEK (Merged Reading Order, Individual Reading Order)
sofa -> FFYA (Standard Braille Order, Individual Reading Order)
sofa -> FFMM (Standard Braille Order, Merged Reading Order)
sofa -> JANDA (Individual Reading Order, Standard Braille Order)
sofa -> SHH (Individual Reading Order, Merged Reading Order)
sofa -> TFCC (Merged Reading Order, Standard Braille Order)
sofa -> SHH (Merged Reading Order, Individual Reading Order)
tent -> ENOFD (Standard Braille Order, Merged Reading Order)
dare -> FJC (Standard Braille Order, Individual Reading Order)
dare -> OFFK (Individual Reading Order, Standard Braille Order)
dare -> KJL (Merged Reading Order, Standard Braille Order)
wax -> THEAOU (Standard Braille Order, Individual Reading Order)
wax -> THECING (Individual Reading Order, Merged Reading Order)
wax -> SINGSH (Merged Reading Order, Standard Braille Order)
wax -> THECING (Merged Reading Order, Individual Reading Order)
nut -> GWHT (Standard Braille Order, Individual Reading Order)
nut -> RGHT (Individual Reading Order, Standard Braille Order)
nut -> EDINGR (Individual Reading Order, Merged Reading Order)
nut -> GHANDO (Merged Reading Order, Standard Braille Order)
nut -> EDINGR (Merged Reading Order, Individual Reading Order)
lean -> WHUE (Standard Braille Order, Merged Reading Order)
lean -> UGHK (Individual Reading Order, Merged Reading Order)
lean -> UGHK (Merged Reading Order, Individual Reading Order)
bye -> KERC (Standard Braille Order, Individual Reading Order)
bye -> NSHST (Standard Braille Order, Merged Reading Order)
bye -> COFK (Individual Reading Order, Standard Braille Order)
bye -> RWHCC (Individual Reading Order, Merged Reading Order)
bye -> PCCFF (Merged Reading Order, Standard Braille Order)
bye -> RWHCC (Merged Reading Order, Individual Reading Order)
strand -> CCNOF (Standard Braille Order, Individual Reading Order)
strand -> GGARZ (Standard Braille Order, Merged Reading Order)
strand -> CCPER (Individual Reading Order, Standard Braille Order)
strand -> THEFFV (Individual Reading Order, Merged Reading Order)
strand -> GGANDEN (Merged Reading Order, Standard Braille Order)
strand -> THEFFV (Merged Reading Order, Individual Reading Order)
dash -> FAGH (Standard Braille Order, Individual Reading Order)
dash -> OAWH (Individual Reading Order, Standard Braille Order)
steal -> CCINE (Standard Braille Order, Merged Reading Order)
steal -> STBBK (Individual Reading Order, Merged Reading Order)
steal -> STBBK (Merged Reading Order, Individual Reading Order)
ant -> AGT (Standard Braille Order, Individual Reading Order)
ant -> ART (Individual Reading Order, Standard Braille Order)
ant -> GHGGBB (Merged Reading Order, Standard Braille Order)
gem -> PCH (Standard Braille Order, Individual Reading Order)
gem -> NKH (Individual Reading Order, Standard Braille Order)
gem -> PINGB (Merged Reading Order, Standard Braille Order)
myth -> HERED (Standard Braille Order, Individual Reading Order)
myth -> HOFZ (Individual Reading Order, Standard Braille Order)
myth -> LERGG (Merged Reading Order, Standard Braille Order)
gig -> PBBP (Standard Braille Order, Individual Reading Order)
weed -> THECV (Standard Braille Order, Individual Reading Order)
weed -> GGGEN (Standard Braille Order, Merged Reading Order)
hint -> CHERIN (Standard Braille Order, Merged Reading Order)
hint -> MBBT (Individual Reading Order, Standard Braille Order)
hint -> CHYBB (Individual Reading Order, Merged Reading Order)
hint -> CHYBB (Merged Reading Order, Individual Reading Order)
barn -> KJG (Standard Braille Order, Individual Reading Order)
barn -> THSHIN (Standard Braille Order, Merged Reading Order)
barn -> CFFR (Individual Reading Order, Standard Braille Order)
barn -> ZWHBB (Individual Reading Order, Merged Reading Order)
barn -> MGGBB (Merged Reading Order, Standard Braille Order)
barn -> ZWHBB (Merged Reading Order, Individual Reading Order)
fare -> LJC (Standard Braille Order, Individual Reading Order)
fare -> DFFK (Individual Reading Order, Standard Braille Order)
fare -> NWHEA (Individual Reading Order, Merged Reading Order)
fare -> MJBB (Merged Reading Order, Standard Braille Order)
fare -> NWHEA (Merged Reading Order, Individual Reading Order)
herb -> MANDK (Standard Braille Order, Individual Reading Order)
herb -> MYC (Individual Reading Order, Standard Braille Order)
ate -> ATC (Standard Braille Order, Individual Reading Order)
ate -> ATK (Individual Reading Order, Standard Braille Order)
ate -> OCCBB (Merged Reading Order, Standard Braille Order)
mud -> HWHF (Standard Braille Order, Individual Reading Order)
mud -> HGHO (Individual Reading Order, Standard Braille Order)
mud -> LEDIN (Merged Reading Order, Standard Braille Order)
shark -> GHJE (Standard Braille Order, Individual Reading Order)
shark -> WHFFB (Individual Reading Order, Standard Braille Order)
shark -> KTI (Merged Reading Order, Standard Braille Order)
shine -> WHBBK (Individual Reading Order, Standard Braille Order)
shine -> KIS (Merged Reading Order, Standard Braille Order)
dip -> FBBR (Standard Braille Order, Individual Reading Order)
hash -> MAGH (Standard Braille Order, Individual Reading Order)
hash -> MAWH (Individual Reading Order, Standard Braille Order)
lined -> WHDU (Standard Braille Order, Merged Reading Order)
lined -> FBBTH (Individual Reading Order, Standard Braille Order)
lined -> UOGH (Individual Reading Order, Merged Reading Order)
lined -> XGHEN (Merged Reading Order, Standard Braille Order)
lined -> UOGH (Merged Reading Order, Individual Reading Order)
pens -> GHOD (Standard Braille Order, Merged Reading Order)
pens -> SHLO (Individual Reading Order, Merged Reading Order)
pens -> SHLO (Merged Reading Order, Individual Reading Order)
lid -> OBBF (Standard Braille Order, Individual Reading Order)
lid -> THUA (Standard Braille Order, Merged Reading Order)
lid -> ZGHA (Individual Reading Order, Merged Reading Order)
lid -> ZGHA (Merged Reading Order, Individual Reading Order)
keen -> BINCH (Individual Reading Order, Merged Reading Order)
keen -> GHAEN (Merged Reading Order, Standard Braille Order)
keen -> BINCH (Merged Reading Order, Individual Reading Order)
peas -> GHOE (Standard Braille Order, Merged Reading Order)
peas -> SHLK (Individual Reading Order, Merged Reading Order)
peas -> SHLK (Merged Reading Order, Individual Reading Order)
owns -> THEDFF (Standard Braille Order, Merged Reading Order)
owns -> WOS (Individual Reading Order, Merged Reading Order)
owns -> OWWITHI (Merged Reading Order, Standard Braille Order)
owns -> WOS (Merged Reading Order, Individual Reading Order)
hay -> MAER (Standard Braille Order, Individual Reading Order)
hay -> MAOF (Individual Reading Order, Standard Braille Order)
zinc -> WHIL (Standard Braille Order, Merged Reading Order)
zinc -> VBBE (Individual Reading Order, Standard Braille Order)
zinc -> KGHF (Merged Reading Order, Standard Braille Order)
tear -> CCOFE (Standard Braille Order, Merged Reading Order)
tear -> STANDK (Individual Reading Order, Merged Reading Order)
tear -> STANDK (Merged Reading Order, Individual Reading Order)
nest -> GCCC (Standard Braille Order, Individual Reading Order)
nest -> VIE (Standard Braille Order, Merged Reading Order)
nest -> RKCC (Individual Reading Order, Standard Braille Order)
nest -> BXB (Merged Reading Order, Standard Braille Order)
cop -> BDR (Standard Braille Order, Individual Reading Order)
cop -> ELG (Individual Reading Order, Standard Braille Order)
cop -> ANDINBB (Individual Reading Order, Merged Reading Order)
cop -> VTHEEA (Merged Reading Order, Standard Braille Order)
cop -> ANDINBB (Merged Reading Order, Individual Reading Order)
dim -> FBBH (Standard Braille Order, Individual Reading Order)
stan -> CCAG (Standard Braille Order, Individual Reading Order)
stan -> CCAR (Individual Reading Order, Standard Braille Order)
glow -> EDPEN (Individual Reading Order, Merged Reading Order)
glow -> EROWCH (Merged Reading Order, Standard Braille Order)
glow -> EDPEN (Merged Reading Order, Individual Reading Order)
ware -> THEJC (Standard Braille Order, Individual Reading Order)
ware -> JEDBB (Standard Braille Order, Merged Reading Order)
ware -> ARTHI (Individual Reading Order, Merged Reading Order)
ware -> STJP (Merged Reading Order, Standard Braille Order)
ware -> ARTHI (Merged Reading Order, Individual Reading Order)
foul -> LXO (Standard Braille Order, Individual Reading Order)
foul -> DXF (Individual Reading Order, Standard Braille Order)
foul -> PRIN (Individual Reading Order, Merged Reading Order)
foul -> FORSTCC (Merged Reading Order, Standard Braille Order)
foul -> PRIN (Merged Reading Order, Individual Reading Order)
seas -> ENOE (Standard Braille Order, Merged Reading Order)
forge -> FORPC (Standard Braille Order, Individual Reading Order)
forge -> QANDB (Standard Braille Order, Merged Reading Order)
forge -> FORNK (Individual Reading Order, Standard Braille Order)
forge -> QERC (Individual Reading Order, Merged Reading Order)
forge -> QDP (Merged Reading Order, Standard Braille Order)
forge -> QERC (Merged Reading Order, Individual Reading Order)
pod -> RDF (Standard Braille Order, Individual Reading Order)
pod -> OFSHK (Standard Braille Order, Merged Reading Order)
pod -> GLO (Individual Reading Order, Standard Braille Order)
pod -> ANDWHB (Individual Reading Order, Merged Reading Order)
pod -> PEDBB (Merged Reading Order, Standard Braille Order)
pod -> ANDWHB (Merged Reading Order, Individual Reading Order)
ours -> XNFF (Standard Braille Order, Individual Reading Order)
ours -> UQFF (Standard Braille Order, Merged Reading Order)
ours -> XPJ (Individual Reading Order, Standard Braille Order)
ours -> GHQS (Individual Reading Order, Merged Reading Order)
ours -> GHQS (Merged Reading Order, Individual Reading Order)
wit -> THEBBT (Standard Braille Order, Individual Reading Order)
wit -> OWOFCC (Standard Braille Order, Merged Reading Order)
yarn -> ERJG (Standard Braille Order, Individual Reading Order)
yarn -> EROWR (Standard Braille Order, Merged Reading Order)
yarn -> OFFFR (Individual Reading Order, Standard Braille Order)
yarn -> KFORP (Merged Reading Order, Standard Braille Order)
mug -> HWHP (Standard Braille Order, Individual Reading Order)
mug -> HGHN (Individual Reading Order, Standard Braille Order)
mug -> VEDIN (Merged Reading Order, Standard Braille Order)
marsh -> HJGH (Standard Braille Order, Individual Reading Order)
marsh -> HFFWH (Individual Reading Order, Standard Braille Order)
marsh -> KEREN (Merged Reading Order, Standard Braille Order)
bent -> CHVIN (Individual Reading Order, Merged Reading Order)
bent -> CHVIN (Merged Reading Order, Individual Reading Order)
